{'loss': 8.53182601928711, 'srcnode': 198263, 'dstnode': 108, 'srcmsg': "{'subject': 'sshd'}", 'dstmsg': "{'file': '/var/log/utx.log'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874693439603150}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874700719608650}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522874700913035248}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522874700913035248}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 28, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874700949601545}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874700949601545}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874715379599381}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874715379599381}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874715379599381}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874715379599381}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874715389609513}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874736009597489}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874736009597489}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874736009597489}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874736009597489}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874736019609621}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874757969597250}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874758029601542}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874758029601542}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874758029601542}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874759059599423}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874759079601137}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874759089598229}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874759089598229}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874759089598229}
{'loss': 8.53182601928711, 'srcnode': 198241, 'dstnode': 16, 'srcmsg': "{'subject': 'top'}", 'dstmsg': "{'file': '/usr/bin/top'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874760119597270}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 17, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': '/usr/bin/head'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874760119597270}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874760169598540}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874760169598540}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874761189597050}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874761199599971}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874761199599971}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522874761409598843}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522874761409598843}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 28, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874761439608009}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874761439608009}
{'loss': 8.53182601928711, 'srcnode': 198248, 'dstnode': 198365, 'srcmsg': "{'subject': 'ntpd'}", 'dstmsg': "{'netflow': '10.0.4.1:123'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522874766899597276}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874775399599608}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874775399599608}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874775399599608}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874775399599608}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874775409597550}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874796049596538}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874796049596538}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874796049596538}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874796049596538}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874796059605280}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874817129597975}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874817129597975}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874817129597975}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874817139596377}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874818459595696}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874818559597345}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874818559597345}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874818559597345}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874819589596007}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874819609605961}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874819609605961}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874819619606293}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874819619606293}
{'loss': 8.53182601928711, 'srcnode': 198241, 'dstnode': 16, 'srcmsg': "{'subject': 'top'}", 'dstmsg': "{'file': '/usr/bin/top'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874820639596092}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 17, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': '/usr/bin/head'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874820639596092}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874820719597668}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874820719597668}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874821739596538}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874821749597990}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874821749597990}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522874821929606565}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522874821929606565}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 28, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874821959601301}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874821959601301}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874856069596686}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874856069596686}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874856069596686}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874856069596686}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874856079599148}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874877149595811}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874877149595811}
{'loss': 8.53182601928711, 'srcnode': 198310, 'dstnode': 50552, 'srcmsg': "{'subject': 'mlock'}", 'dstmsg': "{'file': '/usr/local/libexec/mlock'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874877159597683}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874877179595597}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874877189598869}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204662, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40548'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874877189598869}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874878989596002}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874879049603334}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874879049603334}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874879059606986}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874880079594556}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874880099601150}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874880099601150}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874880099601150}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874880109595152}
{'loss': 8.53182601928711, 'srcnode': 198241, 'dstnode': 16, 'srcmsg': "{'subject': 'top'}", 'dstmsg': "{'file': '/usr/bin/top'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874881119595180}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 17, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': '/usr/bin/head'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874881119595180}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874881179598202}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874881179598202}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874882209594744}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522874882219613496}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522874882219613496}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522874882389603059}
