{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209938, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:48385'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700797590788}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 149, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog.0'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700987617555}
{'loss': 8.53182601928711, 'srcnode': 198326, 'dstnode': 33, 'srcmsg': "{'subject': 'tail'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964700987617555}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 149, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog.0'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964701267586344}
{'loss': 8.53182601928711, 'srcnode': 198326, 'dstnode': 33, 'srcmsg': "{'subject': 'tail'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964701277588038}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 50563, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'file': '/tmp/.31.29ada'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964701987588615}
{'loss': 8.53182601928711, 'srcnode': 198310, 'dstnode': 50552, 'srcmsg': "{'subject': 'mlock'}", 'dstmsg': "{'file': '/usr/local/libexec/mlock'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964701997592760}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209941, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:50533'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964702017591899}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209941, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:50533'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964702087588751}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 209941, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.166:50533'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964702507587234}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 149, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog.0'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964702547589142}
{'loss': 8.53182601928711, 'srcnode': 198326, 'dstnode': 33, 'srcmsg': "{'subject': 'tail'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964702547589142}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964716567586287}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964716567586287}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964716567586287}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964716567586287}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964716587588906}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964732687586473}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964732747588671}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964732747588671}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964732747588671}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964733767587769}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964733787587538}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964733797587873}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964733797587873}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964733797587873}
{'loss': 8.53182601928711, 'srcnode': 198241, 'dstnode': 16, 'srcmsg': "{'subject': 'top'}", 'dstmsg': "{'file': '/usr/bin/top'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964734827588096}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 17, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': '/usr/bin/head'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964734827588096}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964734887587453}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964734887587453}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 149, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog.0'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964735787587777}
{'loss': 8.53182601928711, 'srcnode': 198326, 'dstnode': 33, 'srcmsg': "{'subject': 'tail'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964735787587777}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 149, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog.0'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964735787587777}
{'loss': 8.53182601928711, 'srcnode': 198326, 'dstnode': 33, 'srcmsg': "{'subject': 'tail'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964735787587777}
{'loss': 8.53182601928711, 'srcnode': 198252, 'dstnode': 149, 'srcmsg': "{'subject': 'syslogd'}", 'dstmsg': "{'file': '/var/log/maillog.0'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964735787587777}
{'loss': 8.53182601928711, 'srcnode': 198326, 'dstnode': 33, 'srcmsg': "{'subject': 'tail'}", 'dstmsg': "{'file': '/dev/tty'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964735787587777}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964735907586762}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964735917588896}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964735917588896}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522964736107588913}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522964736107588913}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 28, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964736137587327}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964736137587327}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964776597584922}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964776597584922}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964776597584922}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964776597584922}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964776607587077}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964793157587172}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964793227589144}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964793227589144}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964793227589144}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964794247585532}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964794267588061}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964794277588186}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964794277588186}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964794287584580}
{'loss': 8.53182601928711, 'srcnode': 198241, 'dstnode': 16, 'srcmsg': "{'subject': 'top'}", 'dstmsg': "{'file': '/usr/bin/top'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964795297584163}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 17, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': '/usr/bin/head'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964795297584163}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964795357586780}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964795357586780}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964796377584708}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964796387587922}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964796387587922}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522964796577586749}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522964796577586749}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 28, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964796607587363}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964796607587363}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964836617584499}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964836617584499}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964836617584499}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964836617584499}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964836637584178}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964853637584121}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964853697591289}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964853697591289}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964853707595443}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964854727585619}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964854747585979}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964854757585463}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964854757585463}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964854757585463}
{'loss': 8.53182601928711, 'srcnode': 198241, 'dstnode': 16, 'srcmsg': "{'subject': 'top'}", 'dstmsg': "{'file': '/usr/bin/top'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964855777585039}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 17, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': '/usr/bin/head'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964855777585039}
{'loss': 8.53182601928711, 'srcnode': 198242, 'dstnode': 15, 'srcmsg': "{'subject': 'head'}", 'dstmsg': "{'file': 'top_procs.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964855837581937}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964855837581937}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 27, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/bin/date'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964856867584818}
{'loss': 8.53182601928711, 'srcnode': 198243, 'dstnode': 28, 'srcmsg': "{'subject': 'date'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964856877585112}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 29, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/usr/local/sbin/lsof'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964856877585112}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 198373, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'netflow': '128.55.12.10:53'}", 'edge_type': 'EVENT_SENDTO', 'time': 1522964857067585829}
{'loss': 8.53182601928711, 'srcnode': 198373, 'dstnode': 198244, 'srcmsg': "{'netflow': '128.55.12.10:53'}", 'dstmsg': "{'subject': 'lsof'}", 'edge_type': 'EVENT_RECVFROM', 'time': 1522964857067585829}
{'loss': 8.53182601928711, 'srcnode': 198244, 'dstnode': 28, 'srcmsg': "{'subject': 'lsof'}", 'dstmsg': "{'file': '/data/gather_stats_uma.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964857097585023}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964857097585023}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964896647582335}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964896647582335}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964896647582335}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964896647582335}
{'loss': 8.53182601928711, 'srcnode': 198312, 'dstnode': 204192, 'srcmsg': "{'subject': 'imapd'}", 'dstmsg': "{'netflow': '128.55.12.167:40495'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964896657582070}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964914127584140}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964914197587342}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 1, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_mem.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964914197587342}
{'loss': 8.53182601928711, 'srcnode': 198238, 'dstnode': 13, 'srcmsg': "{'subject': 'sleep'}", 'dstmsg': "{'file': '/bin/sleep'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964914197587342}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 2, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': '/usr/bin/vmstat'}", 'edge_type': 'EVENT_EXECUTE', 'time': 1522964915227584861}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964915257586945}
{'loss': 8.53182601928711, 'srcnode': 198240, 'dstnode': 14, 'srcmsg': "{'subject': 'vmstat'}", 'dstmsg': "{'file': 'kernel_zones.txt'}", 'edge_type': 'EVENT_WRITE', 'time': 1522964915257586945}
